Event	ID	Name			Wwise Object Path	Notes
	880454473	Play_Select_Button			\Default Work Unit\Play_Select_Button	
	1020223172	Play_Wind			\Default Work Unit\Play_Wind	
	1073654463	Play_Slot_rimshot			\Default Work Unit\Play_Slot_rimshot	
	1598463209	Play_construction			\Default Work Unit\Play_construction	
	2149296550	Play_testing			\Default Work Unit\Play_testing	
	2446290240	Play_singsingsingmybird			\Default Work Unit\Play_singsingsingmybird	
	2611274067	Play_buildingsound			\Default Work Unit\Play_buildingsound	
	3126765036	Play_BGM			\Default Work Unit\Play_BGM	
	3149538809	Play_ForestAmbience			\Default Work Unit\Play_ForestAmbience	
	3493507479	Stop_construction			\Default Work Unit\Stop_construction	

Game Parameter	ID	Name			Wwise Object Path	Notes
	848835168	ZOOM			\Default Work Unit\ZOOM	
	1427264549	HAPPY			\Default Work Unit\HAPPY	

In Memory Audio	ID	Name	Audio source file		Wwise Object Path	Notes	Data Size
	32765491	shs_oat_ambience_construction_work_1_jackhammer	C:\Users\LEE\Desktop\Utopia\Utopia_WwiseProject\.cache\Mac\SFX\shs_oat_ambience_construction_work_1_jackhammer_11A93380.wem		\Actor-Mixer Hierarchy\Default Work Unit\AMb\construction\shs_oat_ambience_construction_work_1_jackhammer		1918432
	65709662	xylophone	C:\Users\LEE\Desktop\Utopia\Utopia_WwiseProject\.cache\Mac\SFX\xylophone_40887594.wem		\Actor-Mixer Hierarchy\Default Work Unit\AMb\testing\New Random Container\xylophone		452380
	81639684	marimbaC#	C:\Users\LEE\Desktop\Utopia\Utopia_WwiseProject\.cache\Mac\SFX\marimbaC#_FCCA26EC.wem		\Actor-Mixer Hierarchy\Default Work Unit\AMb\testing\New Random Container\marimbaC#		333656
	181388217	shs_oat_ambience_construction_work_5_jackhammer	C:\Users\LEE\Desktop\Utopia\Utopia_WwiseProject\.cache\Mac\SFX\shs_oat_ambience_construction_work_5_jackhammer_FBC78EF0.wem		\Actor-Mixer Hierarchy\Default Work Unit\AMb\construction\shs_oat_ambience_construction_work_5_jackhammer		5199960
	314776306	Select_Button	C:\Users\LEE\Desktop\Utopia\Utopia_WwiseProject\.cache\Mac\SFX\Building_click_002_E8EFD727.wem		\Actor-Mixer Hierarchy\Default Work Unit\Select_Button		6326
	336403806	105guitarriffCmaj	C:\Users\LEE\Desktop\Utopia\Utopia_WwiseProject\.cache\Mac\SFX\105guitarriffCmaj_818F3B66.wem		\Actor-Mixer Hierarchy\Default Work Unit\AMb\testing\New Random Container\105guitarriffCmaj		3510952
	367849771	Construction_S08IN_354	C:\Users\LEE\Desktop\Utopia\Utopia_WwiseProject\.cache\Mac\SFX\Construction_S08IN.354_61B47146.wem		\Actor-Mixer Hierarchy\Default Work Unit\AMb\construction\Construction_S08IN_354		23062672
	394814525	BGM	C:\Users\LEE\Desktop\Utopia\Utopia_WwiseProject\.cache\Mac\SFX\BGM_11A93380.wem		\Actor-Mixer Hierarchy\Default Work Unit\AMb\BGMsequnce1\BGM		7680096
	583359231	airplane	C:\Users\LEE\Desktop\Utopia\Utopia_WwiseProject\.cache\Mac\SFX\airplane_6BF23048.wem		\Actor-Mixer Hierarchy\Default Work Unit\AMb\testing\New Blend Container\airplane		2562680
	742924674	Wind	C:\Users\LEE\Desktop\Utopia\Utopia_WwiseProject\.cache\Mac\SFX\ESM_Wind_Loop_Distant_Air_Steady_1_FBC78EF0.wem		\Actor-Mixer Hierarchy\Default Work Unit\AMb\Wind		9024160
	779451324	Slot_rimshot	C:\Users\LEE\Desktop\Utopia\Utopia_WwiseProject\.cache\Mac\SFX\SO_BA_rim_chin_upbounce_F1EB82C2.wem		\Actor-Mixer Hierarchy\Default Work Unit\Slot_rimshot		13792
	824445506	ForestAmbience	C:\Users\LEE\Desktop\Utopia\Utopia_WwiseProject\.cache\Mac\SFX\utopia sound design_7B736DF4.wem		\Actor-Mixer Hierarchy\Default Work Unit\AMb\ForestAmbience		38527784
	832635833	buildingsound	C:\Users\LEE\Desktop\Utopia\Utopia_WwiseProject\.cache\Mac\SFX\Build_001_7D1A1C64.wem		\Actor-Mixer Hierarchy\Default Work Unit\buildingsound		69726
	987196180	singsingsingmybird	C:\Users\LEE\Desktop\Utopia\Utopia_WwiseProject\.cache\Mac\SFX\singsingsingmybird_FBC78EF0.wem		\Interactive Music Hierarchy\Default Work Unit\singsingsingmybird\singsingsingmybird\singsingsingmybird		34003324
	1034700149	Construction_S08IN_355	C:\Users\LEE\Desktop\Utopia\Utopia_WwiseProject\.cache\Mac\SFX\Construction_S08IN.355_FBC78EF0.wem		\Actor-Mixer Hierarchy\Default Work Unit\AMb\construction\Construction_S08IN_355		19846240

